1544906761.253304,interrupt,detection,(Arduino,external
1544906761.2543616,ready!,Waiting,for,first
1544906761.2579737,-422,646,-1925,0
1544906761.274288,-469,633,353,0
1544906761.2903175,-496,619,1816,0
1544906761.3030028,-512,604,2741,0
1544906761.3194635,-518,590,3313,0
1544906761.3353558,-524,572,3668,0
1544906761.3480747,-526,560,3904,0
1544906761.3645732,-523,543,4050,0
1544906761.3803082,-521,522,4149,0
1544906761.3932478,-513,511,4197,0
1544906761.4095178,-515,492,4233,0
1544906761.4254892,-514,473,4269,0
1544906761.438167,-511,450,4276,0
1544906761.4545665,-513,425,4277,0
1544906761.470356,-506,401,4278,0
1544906761.4833384,-496,378,4281,0
1544906761.4996183,-487,351,4291,0
1544906761.515375,-484,328,4292,0
1544906761.5282702,-477,303,4297,0
1544906761.5446627,-474,282,4297,0
1544906761.560579,-478,269,4295,0
1544906761.5732388,-477,253,4293,0
1544906761.5896676,-477,235,4289,0
1544906761.605731,-470,223,4289,0
1544906761.6185095,-464,212,4283,0
1544906761.6347916,-465,199,4286,0
1544906761.650537,-463,186,4298,0
1544906761.6634047,-462,175,4302,0
1544906761.6798623,-457,161,4290,0
1544906761.6957843,-449,158,4286,0
1544906761.7085035,-443,154,4282,0
1544906761.7247703,-441,144,4281,0
1544906761.740866,-443,129,4284,0
1544906761.7536578,-444,111,4278,0
1544906761.770129,-441,100,4276,0
1544906761.78588,-438,93,4278,0
1544906761.7984724,-430,82,4282,0
1544906761.815009,-433,69,4291,0
1544906761.8308656,-439,51,4288,0
1544906761.8437638,-442,33,4287,0
1544906761.8601358,-438,17,4285,0
1544906761.8760364,-428,2,4280,0
1544906761.888827,-422,-8,4272,0
1544906761.9052894,-415,-23,4287,0
1544906761.9209843,-417,-31,4289,0
1544906761.9337053,-418,-42,4287,0
1544906761.950263,-416,-49,4289,0
1544906761.9661987,-415,-59,4292,0
1544906761.9789007,-416,-64,4296,0
1544906761.9951677,-413,-71,4289,0
1544906762.0111084,-413,-77,4282,0
1544906762.0237575,-411,-80,4288,0
1544906762.0402603,-406,-94,4289,0
1544906762.0563073,-407,-99,4285,0
1544906762.0689692,-397,-114,4300,0
1544906762.0854006,-392,-116,4303,0
1544906762.1013513,-385,-130,4290,0
1544906762.113849,-387,-143,4288,0
1544906762.130435,-389,-152,4288,0
1544906762.1462626,-381,-161,4291,0
1544906762.1589851,-383,-168,4289,0
1544906762.1755843,-389,-173,4287,0
1544906762.1913474,-386,-175,4285,0
1544906762.2040505,-384,-180,4280,0
1544906762.2204733,-371,-193,4282,0
1544906762.2366545,-368,-196,4283,0
1544906762.2492511,-369,-205,4279,0
1544906762.2656446,-372,-209,4287,0
1544906762.2816584,-382,-217,4287,0
1544906762.2941496,-379,-224,4292,0
1544906762.3106904,-377,-234,4291,0
1544906762.3267283,-370,-241,4287,0
1544906762.339505,-372,-250,4282,0
1544906762.3555765,-369,-259,4295,0
1544906762.3717499,-372,-265,4291,0
1544906762.3844233,-366,-267,4290,0
1544906762.4008226,-366,-270,4290,0
1544906762.4166,-357,-276,4293,0
1544906762.429315,-350,-279,4299,0
1544906762.4457226,-354,-292,4299,0
1544906762.4618316,-351,-298,4292,0
1544906762.4746056,-348,-304,4300,0
1544906762.4907334,-348,-308,4301,0
1544906762.50697,-355,-310,4303,0
1544906762.5196366,-356,-314,4294,0
1544906762.5359101,-357,-314,4297,0
1544906762.5518398,-356,-318,4299,0
1544906762.5644975,-346,-328,4303,0
1544906762.5809305,-348,-329,4308,0
1544906762.59699,-347,-338,4304,0
1544906762.609834,-338,-339,4287,0
1544906762.6259878,-339,-343,4284,0
1544906762.6419563,-334,-350,4280,0
1544906762.6547027,-329,-355,4274,0
1544906762.6711948,-329,-350,4281,0
1544906762.687149,-338,-356,4279,0
1544906762.6998131,-340,-358,4285,0
1544906762.71619,-338,-368,4290,0
1544906762.7321687,-335,-371,4296,0
1544906762.7449667,-335,-375,4300,0
1544906762.7611907,-337,-374,4297,0
1544906762.777133,-335,-379,4301,0
1544906762.7899714,-334,-382,4304,0
1544906762.8062851,-327,-382,4303,0
1544906762.8223515,-325,-387,4296,0
1544906762.8347378,-328,-394,4304,0
1544906762.8512228,-326,-397,4292,0
1544906762.8674116,-325,-401,4293,0
1544906762.8799996,-324,-410,4293,0
1544906762.896411,-322,-418,4296,0
1544906762.9124038,-320,-424,4294,0
1544906762.925057,-322,-424,4297,0
1544906762.9413762,-325,-431,4290,0
1544906762.9574177,-325,-433,4289,0
1544906762.9702203,-320,-428,4302,0
1544906762.986491,-314,-439,4302,0
1544906763.0025475,-312,-453,4299,0
1544906763.0154543,-321,-462,4294,0
1544906763.0314982,-320,-459,4295,0
1544906763.0475113,-314,-458,4292,0
1544906763.060262,-311,-452,4301,0
1544906763.076797,-311,-450,4300,0
