1544907293.3631864,interrupt,detection,(Arduino,external
1544907293.3670216,ready!,Waiting,for,first
1544907293.371032,-368,587,-1919,0
1544907293.3836026,-411,582,359,0
1544907293.3999534,-437,566,1823,0
1544907293.4161198,-453,544,2745,0
1544907293.428781,-457,520,3331,0
1544907293.4449997,-444,499,3693,0
1544907293.4610634,-438,467,3924,0
1544907293.4738522,-427,443,4072,0
1544907293.4902773,-431,414,4162,0
1544907293.5061507,-440,388,4227,0
1544907293.5188174,-448,365,4267,0
1544907293.5352674,-461,344,4280,0
1544907293.5512383,-455,322,4286,0
1544907293.563913,-446,294,4294,0
1544907293.5803454,-435,270,4304,0
1544907293.5963547,-430,249,4311,0
1544907293.6090162,-427,232,4314,0
1544907293.6253805,-429,217,4312,0
1544907293.6414688,-435,203,4315,0
1544907293.6539025,-436,189,4316,0
1544907293.6705198,-438,179,4317,0
1544907293.6865375,-439,158,4315,0
1544907293.6992197,-431,145,4309,0
1544907293.7153182,-427,133,4316,0
1544907293.7313921,-417,116,4315,0
1544907293.7440243,-409,104,4320,0
1544907293.7606728,-380,101,4233,0
1544907293.7766268,-402,77,4345,0
1544907293.7890348,-444,87,4365,0
1544907293.8054106,-446,99,4331,0
1544907293.821581,-418,77,4322,0
1544907293.8341749,-403,58,4309,0
1544907293.8505008,-391,35,4304,0
1544907293.8664765,-392,20,4327,0
1544907293.8793197,-400,15,4316,0
1544907293.8957605,-399,5,4306,0
1544907293.9116867,-404,1,4299,0
1544907293.9242065,-404,-6,4300,0
1544907293.9406812,-403,-16,4297,0
1544907293.9566858,-416,-22,4305,0
1544907293.9694564,-413,-36,4319,0
1544907293.985851,-398,-45,4317,0
1544907294.0018744,-373,-51,4319,0
1544907294.0143237,-366,-55,4319,0
1544907294.0306888,-366,-54,4318,0
1544907294.04698,-377,-56,4330,0
1544907294.059621,-390,-61,4323,0
1544907294.075789,-388,-66,4312,0
1544907294.0919802,-387,-72,4305,0
1544907294.1045575,-395,-88,4312,0
1544907294.1210515,-392,-104,4313,0
1544907294.1368427,-383,-110,4307,0
1544907294.149588,-374,-124,4311,0
1544907294.1656528,-364,-145,4315,0
1544907294.181959,-364,-162,4317,0
1544907294.194721,-366,-181,4320,0
1544907294.2109895,-372,-194,4311,0
1544907294.2269955,-376,-199,4308,0
1544907294.2398615,-372,-209,4306,0
1544907294.2562683,-376,-211,4309,0
1544907294.2721725,-379,-212,4314,0
1544907294.284742,-375,-219,4315,0
1544907294.301133,-371,-229,4311,0
1544907294.3172498,-366,-233,4314,0
1544907294.3299792,-365,-237,4315,0
1544907294.3461456,-370,-241,4309,0
1544907294.36214,-372,-235,4309,0
1544907294.3749645,-360,-248,4301,0
1544907294.391292,-360,-262,4334,0
1544907294.4072652,-368,-248,4344,0
1544907294.4199758,-353,-237,4331,0
1544907294.4364786,-346,-241,4325,0
1544907294.4522657,-347,-250,4319,0
1544907294.4648929,-346,-263,4315,0
1544907294.4817085,-350,-283,4329,0
1544907294.4973254,-353,-294,4333,0
1544907294.5102355,-339,-302,4320,0
1544907294.526588,-343,-306,4312,0
1544907294.5426912,-348,-305,4316,0
1544907294.555387,-357,-308,4315,0
1544907294.571485,-360,-307,4326,0
1544907294.5875804,-345,-313,4333,0
1544907294.600361,-336,-312,4327,0
1544907294.6167455,-336,-313,4319,0
1544907294.6327531,-346,-317,4324,0
1544907294.6451786,-349,-330,4338,0
1544907294.661762,-350,-341,4333,0
1544907294.6778383,-343,-355,4325,0
1544907294.6905036,-342,-364,4328,0
1544907294.7066865,-341,-368,4325,0
1544907294.7227614,-344,-368,4323,0
1544907294.7354515,-342,-364,4325,0
1544907294.7518172,-341,-370,4325,0
1544907294.7678583,-334,-372,4322,0
