1544907169.8187256,-243,9,4316,33
1544907169.8193364,-250,6,4301,33
1544907169.8198996,-248,1,4301,33
1544907169.820394,-246,0,4300,33
1544907169.8208857,-246,0,4305,33
1544907169.8213909,-237,3,4308,33
1544907169.8218834,-243,9,4316,33
1544907171.0262432,interrupt,detection,(Arduino,external
1544907171.0300536,ready!,Waiting,for,first
1544907171.0338695,-45,428,-1915,0
1544907171.0461535,-102,411,364,0
1544907171.0627842,-139,395,1831,0
1544907171.0789242,-163,374,2754,0
1544907171.091336,-170,358,3334,0
1544907171.107833,-177,339,3697,0
1544907171.1239133,-185,320,3930,0
1544907171.1365879,-198,300,4069,0
1544907171.15294,-207,281,4154,0
1544907171.169198,-212,269,4207,0
1544907171.1815605,-218,249,4243,0
1544907171.1979556,-218,242,4270,0
1544907171.214235,-212,236,4282,0
1544907171.2265658,-215,220,4300,0
1544907171.243107,-220,212,4299,0
1544907171.2592304,-228,195,4294,0
1544907171.271726,-233,182,4305,0
1544907171.2880323,-235,170,4302,0
1544907171.3042078,-238,155,4303,0
1544907171.3169174,-236,135,4311,0
1544907171.3332736,-237,123,4312,0
1544907171.3494074,-234,103,4310,0
1544907171.3616312,-238,95,4309,0
1544907171.378041,-245,88,4313,0
1544907171.394357,-247,75,4308,0
1544907171.406939,-251,64,4309,0
1544907171.4232204,-259,57,4312,0
1544907171.439406,-252,51,4310,0
1544907171.4519188,-248,35,4313,0
1544907171.468277,-244,30,4309,0
1544907171.4845145,-246,17,4306,0
1544907171.4968603,-249,4,4302,0
1544907171.513285,-255,-6,4301,0
1544907171.5296516,-261,-18,4298,0
1544907171.5455353,-265,-28,4302,0
1544907171.558496,-259,-37,4304,0
1544907171.5745337,-261,-49,4302,0
1544907171.59057,-263,-60,4306,0
1544907171.6036115,-268,-65,4300,0
1544907171.6197958,-265,-68,4306,0
1544907171.635563,-271,-84,4302,0
1544907171.6485631,-272,-93,4304,0
1544907171.6648703,-267,-103,4303,0
1544907171.6807246,-271,-112,4306,0
1544907171.6938136,-268,-119,4302,0
1544907171.7099674,-269,-117,4305,0
1544907171.7256994,-271,-119,4307,0
1544907171.738772,-273,-127,4305,0
1544907171.7550664,-275,-138,4295,0
1544907171.7708733,-277,-145,4302,0
1544907171.7837727,-283,-161,4302,0
1544907171.8001344,-289,-166,4301,0
1544907171.8160164,-282,-176,4308,0
1544907171.8290179,-275,-185,4312,0
1544907171.8453038,-276,-196,4313,0
1544907171.8610005,-276,-203,4312,0
1544907171.873996,-281,-218,4313,0
1544907171.8903186,-284,-225,4303,0
1544907171.9062128,-289,-229,4312,0
1544907171.9190638,-291,-236,4307,0
1544907171.9352884,-293,-242,4310,0
1544907171.9511652,-290,-242,4317,0
1544907171.964284,-288,-247,4316,0
1544907171.9804294,-286,-247,4322,0
1544907171.9961278,-294,-245,4321,0
1544907172.0092018,-304,-251,4316,0
1544907172.0254,-303,-250,4310,0
1544907172.0412896,-302,-258,4311,0
1544907172.0543897,-297,-273,4312,0
1544907172.070438,-298,-282,4302,0
1544907172.0865228,-295,-290,4303,0
1544907172.0994182,-294,-300,4307,0
1544907172.1156037,-293,-307,4304,0
1544907172.1315463,-290,-308,4305,0
1544907172.1443589,-298,-311,4302,0
1544907172.1606112,-300,-311,4308,0
1544907172.176506,-306,-316,4306,0
1544907172.1894875,-308,-324,4303,0
1544907172.2056692,-307,-325,4306,0
1544907172.221662,-304,-331,4307,0
1544907172.234336,-300,-333,4303,0
1544907172.2507157,-295,-334,4311,0
1544907172.26656,-297,-341,4300,0
1544907172.2794616,-297,-350,4307,0
1544907172.295897,-301,-352,4309,0
1544907172.3117917,-309,-356,4311,0
1544907172.3247993,-314,-366,4322,0
1544907172.340923,-307,-369,4324,0
1544907172.3568814,-308,-372,4318,0
1544907172.369707,-300,-376,4313,0
1544907172.3860354,-300,-378,4317,0
1544907172.401826,-305,-382,4329,0
1544907172.4146435,-312,-390,4327,0
1544907172.4309459,-308,-399,4323,0
1544907172.4469597,-305,-397,4306,0
1544907172.4600027,-303,-396,4307,0
1544907172.4759881,-309,-391,4310,0
1544907172.4919238,-307,-396,4309,0
1544907172.5049193,-303,-398,4308,0
1544907172.5212936,-306,-395,4306,0
1544907172.5370066,-305,-401,4318,0
1544907172.5498645,-301,-407,4322,0
1544907172.5659912,-305,-406,4315,0
1544907172.5822234,-304,-413,4308,0
1544907172.5949314,-307,-418,4310,0
1544907172.6114967,-300,-426,4313,0
1544907172.6271226,-298,-428,4314,0
1544907172.6400373,-294,-432,4312,0
1544907172.6565297,-297,-434,4312,0
1544907172.672406,-302,-442,4314,0
1544907172.685044,-306,-445,4314,0
1544907172.7013628,-305,-447,4323,0
1544907172.71751,-297,-444,4326,0
1544907172.7303448,-295,-443,4323,0
1544907172.7466652,-297,-435,4316,0
1544907172.7625,-302,-427,4319,0
1544907172.7751427,-302,-424,4313,0
1544907172.7916749,-306,-419,4325,0
1544907172.8076167,-311,-415,4327,0
1544907172.8203819,-308,-412,4320,0
1544907172.8368776,-309,-416,4317,0
1544907172.852657,-311,-418,4307,0
1544907172.865526,-312,-433,4318,0
1544907172.8818195,-303,-444,4325,0
1544907172.8976629,-296,-450,4324,0
1544907172.91044,-297,-462,4324,0
1544907172.926956,-308,-470,4319,0
1544907172.9427543,-332,-482,4306,0
1544907172.9556403,-340,-498,4307,0
1544907172.9719048,-326,-512,4318,0
1544907172.987824,-303,-517,4317,0
1544907173.0006993,-287,-518,4319,0
1544907173.0169039,-285,-520,4319,0
1544907173.0328467,-299,-519,4320,0
1544907173.0455918,-322,-522,4316,0
1544907173.0620463,-331,-519,4320,0
1544907173.0779657,-321,-519,4323,0
1544907173.0908246,-315,-516,4325,0
1544907173.1069357,-310,-509,4329,0
1544907173.1228902,-306,-506,4332,0
